location_id,latitude,longitude
"1-10359881067",51.604979,-0.197813
"1-10363521828",53.725674,-0.449694
"1-10363751508",51.555134,-0.145314
"1-10363767558",51.600078,-0.377838
"1-10364197820",53.873366,-2.392982
"1-10364241475",54.918313,-1.414991
"1-3090817011",54.918313,-1.414991
"1-3848438884",54.918313,-1.414991
"1-674032332",54.918313,-1.414991
"1-6804775503",54.918313,-1.414991
"1-7160828537",54.918313,-1.414991
"1-10364404870",50.381888,-4.042773
"1-10365056249",51.832773,-2.275593
"1-10365135342",51.469865,-0.097602
"1-10365429313",53.996805,-1.54035
"1-10365865585",53.801877,-1.489354
"1-7048759065",53.801877,-1.489354
"1-10366867615",50.868412,-1.258934
"1-10366868305",51.58308,0.172877
"1-10369345270",51.821158,-0.817465
"1-10369842488",50.75461,-1.874821
"1-4647866443",50.75461,-1.874821
"1-10369952621",51.499196,-0.01283
"1-3742923749",51.499196,-0.01283
"1-10370163707",53.669686,-2.304596
"1-10370494664",52.038067,-1.137701
"1-9586703742",52.038067,-1.137701
"1-10372721346",53.181483,-2.533908
"1-10375215785",53.512601,-0.124752
"1-10375986772",53.660062,-1.768442
"1-10376016533",50.564212,-3.687391
"1-10376110791",51.484287,-0.071048
"1-10376153681",53.507422,-2.202167
"1-10377152455",52.145731,-0.418766
"1-1037849403",54.561642,-1.131539
"1-7888993395",54.561642,-1.131539
"1-1038133515",53.666099,-1.77133
"1-5399976805",53.666099,-1.77133
"1-1038188065",52.581946,-0.275789
"1-1038290656",51.808533,-0.104306
"1-128948967",51.808533,-0.104306
"1-1039033306",52.990419,-1.149815
"1-1039149681",53.095573,-1.398423
"1-121909597",53.095573,-1.398423
"1-10391983393",52.98869,-1.305879
"1-10392794722",51.514955,-0.062502
"1-10392924945",52.600873,-1.987534
"1-10396186380",51.729011,-1.206878
"1-10398356478",52.908538,-1.461561
"1-12873813639",52.908538,-1.461561
"1-4297405090",52.908538,-1.461561
"1-5387771761",52.908538,-1.461561
"1-10398843229",51.046126,-2.460152
"1-10399792475",51.340365,-2.979496
"1-1040340169",54.966091,-1.587639
"1-7394766751",54.966091,-1.587639
"1-7894299105",54.966091,-1.587639
"1-9252143139",54.966091,-1.587639
